transaction_id,account_id,vendor_name,transaction_date,amount,currency,transaction_type,department,employee_id
4538c175-6cfd-4fa2-aaa2-17f044bc1d5b,9506,"Fox, Jenkins and Vasquez",23-08-2025,5987.23,INR,Maintenance,Sales,50676
196993bb-9b5c-446a-83d8-6fe4172da72b,2364,"Hudson, Green and Spencer",17-09-2025,32330.94,INR,Reimbursement,HR,50687
0968cf94-9840-4bdc-860c-9b7ab9356a4b,9975,Gordon-Smith,12-07-2025,5810.5,INR,Refund,Finance,11535
37826110-d2ab-41d0-bea8-ec2626ec7425,1369,Martinez and Sons,12-07-2025,40576.77,INR,Reimbursement,HR,43747
528585fa-39f1-43f5-8e8c-fbdd328c8ead,1028,Greene Inc,19-08-2025,36832.59,INR,Salary,Sales,91348
7bb60745-dc7e-4ffc-a368-42f6c16a2961,3682,Mcgee and Sons,09-09-2025,14497.24,INR,Salary,IT,90737
8ad7eeee-1ab5-43dc-a04b-acdb1f9e6aab,9224,Gonzalez LLC,20-10-2025,1923.56,INR,Salary,Finance,79074
aa45a3ba-4d9d-4d98-8afd-1e3bf4787c7e,9307,Mccoy and Sons,18-06-2025,16699.96,INR,Maintenance,IT,66524
d8ebc0fc-922b-4b92-ab04-722cbbe2de9b,3369,Stevens Inc,30-04-2025,45025.16,INR,Maintenance,IT,29631
0d6e7393-34f1-4574-997f-b6703d0b5651,2718,"Thompson, Anderson and Jenkins",11-08-2025,47283.94,INR,Maintenance,Sales,17754
a054ea48-47b9-47a0-8ba3-c1ab56cae4d9,3157,"White, Walton and Fowler",15-08-2025,17044.44,INR,Maintenance,HR,99430
805e2ab7-55e3-48c8-8b2e-128b385505db,1948,Rich-Lutz,25-06-2025,16045.54,INR,Maintenance,IT,99400
74870bc3-986a-4aee-b0a4-3fe25cc02a30,7478,"Hartman, Fisher and Nolan",19-05-2025,40190.39,INR,Purchase,Sales,22927
b5913300-93fc-47fd-8d66-23c305901273,4041,"Clarke, Olsen and Kelly",29-10-2025,1112.72,INR,Reimbursement,HR,88493
ce8131d5-42f3-4736-b787-ce13482727b9,5107,"Olson, Gonzales and Munoz",10-10-2025,22637.01,INR,Refund,HR,19797
3d9a4c35-8de2-41fe-823c-9ace8678c342,2779,Adams Ltd,03-08-2025,29950.45,INR,Reimbursement,Sales,47383
8cd2290d-6508-49e4-b457-48c88267fa0b,3491,Avila-Smith,28-10-2025,28577.86,INR,Salary,HR,57778
06da8aab-4bbf-4077-b15b-f63b8a14c41a,7851,Jones Group,05-08-2025,4475.23,INR,Salary,Operations,13817
49c55bfa-4852-42e9-991d-912b5be47010,5553,"Chavez, Dean and Waller",30-07-2025,17927.88,INR,Purchase,Sales,38781
763306bb-ab76-4747-b66d-35f83d543b09,5939,"Hall, Kerr and Berry",16-10-2025,11190.09,INR,Maintenance,Sales,34039
eaa15e78-d506-413b-9ca3-bbf3f66878b5,8109,"Cooper, Adams and Jackson",02-06-2025,12979.26,INR,Purchase,IT,32157
7388ccc1-8683-4a49-a464-082de046f865,8120,"Carr, Floyd and Meyer",09-06-2025,8709.94,INR,Refund,IT,57719
17ba545b-b9bb-4372-9b67-9be3b6016a43,5873,Ingram-Matthews,19-06-2025,13992.16,INR,Salary,HR,98222
c0e15120-c02c-4538-8813-e3c4f2fea78b,1710,Oliver and Sons,14-10-2025,25906.55,INR,Refund,HR,35109
d6053bd1-21b5-46f4-bdae-7eab9ab305e8,7393,Lopez-Thomas,11-06-2025,15647.77,INR,Refund,HR,85668
0b7954c7-3a81-4f9d-a1af-0dbcb0f9f879,1148,Walter-Holt,04-07-2025,4300.79,INR,Purchase,HR,85370
0eb435d0-d65a-4425-ab74-91f12a8aedbb,1592,Lee-Green,02-08-2025,36527.12,INR,Maintenance,Finance,83380
173edf1c-d7d1-44fd-8fa0-58f4ee9966f2,7291,"Beck, Burke and Montoya",21-06-2025,4513.64,INR,Reimbursement,IT,21095
bbd32c3a-d76e-4a04-b697-3262e2627c99,6503,"Smith, Norton and Ritter",24-10-2025,28576.93,INR,Refund,HR,11430
50651884-749e-44a4-85f0-2c6fd1971bc7,1714,"Lane, Wood and Meyer",21-07-2025,38943.95,INR,Salary,Operations,64009
44b96810-1e5b-4c6a-9ceb-bd82a7f269e0,2491,Williams LLC,14-05-2025,23519.67,INR,Reimbursement,Finance,13204
05c60ff9-c917-48e3-bbb9-164a68b698c9,7882,Burns Group,18-09-2025,35630.23,INR,Purchase,Sales,54800
453f1eca-8363-480c-807f-ac8dcf20ff63,9592,Brewer-Daniels,10-05-2025,8113.96,INR,Salary,IT,31388
